model/parameters,eval/mean_reward,eval/success_rate,time/total_timesteps,eval/mean_ep_length,model/extractor_type,rollout/success_rate,time/iterations,eval/seq_prediction_mse,time/time_elapsed,rollout/ep_rew_mean,eval/best_seq_prediction_mse,rollout/ep_len_mean,time/fps,train/std,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/loss,train/clip_fraction,train/value_loss,train/clip_range,train/clip_range_vf
,-191.67662048339844,0.0,180000,151.3,,,,,,,,,,0.740818202495575,-4.256815433502197,0.1282990574836731,9.688704e-05,0.012444669308024459,20,0.0148083065,0.0242757685482502,0.2802734375,0.12635226594284177,0.19672320000000001,0.2
,,,196608,,,0.02,6,0.949845951795578,412,-241.26730346679688,,345.57,476,,,,,,,,,,,,
,-218.1153564453125,0.0,200000,326.1,,,,,,,,,,0.740818202495575,-4.256815433502197,0.19096684455871582,9.626444800000001e-05,0.007895550268585794,24,0.011444443,0.02008896693587303,0.2162017822265625,0.11577498423866928,0.19606784000000002,0.2
,-206.97756958007812,0.0,220000,169.2,,,,1.003824108839035,,,,,,,,,,,,,,,,,
,,,229376,,,0.01,7,0.9925132989883423,505,-236.34422302246094,,343.01,453,,,,,,,,,,,,
,-213.49118041992188,0.0,240000,183.2,,,,,,,,,,0.740818202495575,-4.256815433502197,0.2567303776741028,9.564185600000001e-05,0.005641003474011086,28,0.008874967,0.013921361416578293,0.18154144287109375,0.106652318732813,0.19541248,0.2
,-185.1625213623047,0.1,260000,182.2,,,,0.9829252362251282,,,,,,,,,,,,,,,,,
,,,262144,,,0.0,8,0.9876143097877502,587,-236.38792419433594,,327.19,445,,,,,,,,,,,,
,-205.177978515625,0.0,280000,220.2,,,,,,,,,,0.740818202495575,-4.256815433502197,0.3464035391807556,9.501926400000001e-05,0.004015402548247948,32,0.008009862,0.002925913780927658,0.148040771484375,0.08734593796543777,0.19475712,0.2
,,,294912,,,0.01,9,1.1693911671638488,648,-241.48033142089844,,333.72,454,,,,,,,,,,,,
,-204.20785522460938,0.0,300000,325.3,,,,,,,,,,0.740818202495575,-4.256815433502197,0.30704933404922485,9.439667200000001e-05,0.0036162649412290193,36,0.008979526,0.006922341883182526,0.14276123046875,0.08871998218819499,0.19410176,0.2
,-210.8624267578125,0.0,320000,256.5,,,,1.0085617899894714,,,,,,,,,,,,,,,,,
,,,327680,,,0.04,10,1.0507294833660126,747,-237.7987060546875,,311.41,438,,,,,,,,,,,,
,-210.5776824951172,0.0,340000,293.0,,,,,,,,,,0.740818202495575,-4.256815433502197,0.29399728775024414,9.377408e-05,0.00436260798596777,40,0.007181403,-0.0038212016224861145,0.1576385498046875,0.08025525300763547,0.19344640000000002,0.2
,-211.31240844726562,0.0,360000,223.4,,,,0.9827914714813233,,,,,,,,,,,,,,,,,
,,,360448,,,0.05,11,1.1411582410335541,838,-229.67767333984375,,331.02,429,,,,,,,,,,,,
,-205.0499725341797,0.0,380000,221.9,,,,,,,,,,0.740818202495575,-4.256815433502197,0.24726742506027222,9.3151488e-05,0.0034848610885092057,44,0.0064056115,0.00785251334309578,0.1261749267578125,0.08408652362413704,0.19279104000000002,0.2
,,,393216,,,0.0,12,1.0117535412311554,896,-243.83502197265625,,346.1,438,,,,,,,,,,,,
,-200.21998596191406,0.1,400000,255.7,,,,,,,,,,0.740818202495575,-4.256815433502197,0.3267230987548828,9.2528896e-05,0.00167624059758964,48,0.0048523024,-0.006701324135065079,0.09334564208984375,0.06644861737731844,0.19213568,0.2
,-224.4486083984375,0.0,420000,364.9,,,,1.0646799981594086,,,,,,,,,,,,,,,,,
,,,425984,,,0.03,13,1.009046310186386,998,-226.7126007080078,,320.09,426,,,,,,,,,,,,
,-218.49014282226562,0.0,440000,280.6,,,,,,,,,,0.740818202495575,-4.256815433502197,0.3037179112434387,9.1906304e-05,0.0011398082751838956,52,0.0060803704,-0.010918762534856796,0.09221649169921875,0.0698871825588867,0.19148032,0.2
,,,458752,,,0.01,14,0.9742701053619385,1065,-239.24337768554688,,355.67,430,,,,,,,,,,,,
,-205.93722534179688,0.0,460000,228.2,,,,,,,,,,0.740818202495575,-4.256815433502197,0.24254941940307617,9.1283712e-05,0.0014607746234105434,56,0.004732989,-0.010525286197662354,0.08090972900390625,0.07363413320854306,0.19082496000000002,0.2
,-194.55868530273438,0.0,480000,262.3,,,,1.04427872300148,,,,,,,,,,,,,,,,,
,,,491520,,,0.02,15,0.9387770295143127,1154,-231.7603302001953,,353.45,425,,,,,,,,,,,,
,-228.03781127929688,0.0,500000,330.6,,,,,,,,,,0.740818202495575,-4.256815433502197,0.3365514278411865,9.066112000000001e-05,0.0011426451419538353,60,0.005584617,-0.012530162930488586,0.0749053955078125,0.06419734039809555,0.19016960000000002,0.2
,-182.4191436767578,0.1,520000,155.2,,,,0.9181512117385864,,,,,,,,,,,,,,,,,
,,,524288,,,0.0,16,0.9389904022216797,1253,-236.4634246826172,,367.0,418,,,,,,,,,,,,
,-233.97653198242188,0.0,540000,330.3,,,,,,,,,,0.740818202495575,-4.256815433502197,0.3296625018119812,9.0038528e-05,0.0004227835306664929,64,0.0042955116,-0.01090661808848381,0.06108856201171875,0.06119626329746097,0.18951424,0.2
,,,557056,,,0.03,17,0.9163373827934265,1323,-229.3433380126953,,349.32,421,,,,,,,,,,,,
,-219.8707733154297,0.0,560000,293.5,,,,,,,,,,0.740818202495575,-4.256815433502197,0.2341575026512146,8.9415936e-05,0.0009435084248252679,68,0.0040348014,-0.0027713142335414886,0.06142425537109375,0.06753011594992131,0.18885888,0.2
,-224.7553253173828,0.0,580000,228.3,,,,1.0439990222454072,,,,,,,,,,,,,,,,,
,,,589824,,,0.02,18,0.9524538278579712,1419,-233.4478759765625,,352.17,415,,,,,,,,,,,,
