time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,model/parameters,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,model/extractor_type,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/entropy_loss,train/n_updates,train/explained_variance,train/value_loss,train/loss,train/std,train/learning_rate
1696,-249.66773986816406,32768,1,5865051,0.0,204.05,19,"TransformerFeaturesExtractor",,,,,,,,,,,
1546,-251.45457458496094,65536,2,,0.0,201.15,42,,0.913330078125,0.19582553207874298,0.1,0.53677815,-4.256815433502197,1,-0.006060242652893066,856.9359130859375,428.6212158203125,1.0,0.0001
1597,-254.80616760253906,98304,3,,0.0,204.7,61,,0.9130859375,0.22138924896717072,0.1,0.5542116,-4.256815433502197,2,-0.006427407264709473,976.1809692382812,488.2693176269531,1.0,0.0001
1561,-257.6102600097656,131072,4,,0.0,199.83,83,,0.91064453125,0.1964430809020996,0.1,0.5860899,-4.256815433502197,3,-0.006972551345825195,966.8013305664062,483.5545349121094,1.0,0.0001
1590,-247.81222534179688,163840,5,,0.0,194.21,103,,0.91748046875,0.17758797109127045,0.1,0.5608924,-4.256815433502197,4,-0.006915569305419922,928.7334594726562,464.5017395019531,1.0,0.0001
1561,-248.98289489746094,196608,6,,0.0,198.45,125,,0.90966796875,0.16583363711833954,0.1,0.5487976,-4.256815433502197,5,-0.006505370140075684,888.9237060546875,444.5851135253906,1.0,0.0001
1559,-254.76327514648438,229376,7,,0.01,203.69,147,,0.9091796875,0.17453905940055847,0.1,0.5404202,-4.256815433502197,6,-0.0064928531646728516,923.5608520507812,461.9123840332031,1.0,0.0001
1562,-254.43031311035156,262144,8,,0.01,207.75,167,,0.9072265625,0.20519882440567017,0.1,0.56761396,-4.256815433502197,7,-0.0062645673751831055,960.1879272460938,480.256591796875,1.0,0.0001
