time/total_timesteps,model/parameters,time/time_elapsed,rollout/success_rate,time/fps,rollout/ep_rew_mean,time/iterations,model/extractor_type,rollout/ep_len_mean,train/learning_rate,train/entropy_loss,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/clip_range,train/std,train/loss
32768,5914203,21,0.0,1537,-260.499267578125,1,"TransformerFeaturesExtractor",302.1,,,,,,,,,,,
65536,,46,0.0,1419,-207.4973602294922,2,,69.12,0.0003,-4.256815433502197,4,30.216496,0.2199248163960874,0.004227578639984131,212.2760877609253,0.9842071533203125,0.2,1.0,99.51953125
98304,,74,0.0,1318,-201.55052185058594,3,,56.36,0.0003,-4.256815433502197,8,3.0338423,0.36375713581219316,-0.0005601644515991211,2772.4797439575195,0.9048995971679688,0.2,1.0,1172.6307373046875
131072,,99,0.0,1320,-196.11256408691406,4,,44.27,0.0003,-4.256815433502197,12,10.837648,0.42974349367432296,8.082389831542969e-05,3081.479507446289,0.9148483276367188,0.2,1.0,1274.8687744140625
163840,,123,0.0,1321,-193.65780639648438,5,,39.07,0.0003,-4.256815433502197,16,21.944855,0.5047198450192809,1.1622905731201172e-05,2912.7025451660156,0.9311676025390625,0.2,1.0,1113.031982421875
