time,npos,epos,h,alpha,beta,phi,theta,psi,p,q,r,TAS,ail,ele,rud,thrust,ail_cmd,ele_cmd,rud_cmd,thrust_cmd,vn,ve,vh,mu,chi,nx,ny,nz,nx_ref,ny_ref,nz_ref,Fx,Fy,Fz,Mx,My,Mz,lon,lat,lef,lef_cmd,Cz,delta_Cz_lef,Czq,delta_Czq_lef,Cm,delta_Cm_lef,Cmq,delta_Cmq_lef,delta_Cm,delta_Cm_ds,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9
1.000000,201.732730,-0.000212,4997.906474,-3.878777,-0.001714,0.065278,-6.563162,-0.003328,0.119033,-2.245242,-0.000379,204.013130,-0.006210,-3.553855,0.001373,54525.757956,-0.006210,-3.553855,0.001373,54525.757956,203.817285,-0.002218,-9.556110,-2.684754,-0.000624,0.446105,0.000094,0.822560,0.560403,0.001226,1.816005,-13846.237935,8.595629,75007.783409,-2.082378,30937.385567,-16.715035,122.425000,31.426817,0.000000,0.000000,0.243150,-0.047070,-29.500000,3.004842,-0.040328,0.035119,-3.881944,2.290237,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.100000,222.114459,-0.000434,4996.950863,-3.593642,-0.002140,0.077219,-6.787691,-0.003648,0.117975,0.097162,-0.001173,204.441121,-0.006450,-3.075042,0.001084,54559.554823,-0.006450,-3.075042,0.001084,54559.554823,204.141160,-0.003361,-11.391998,-3.194326,-0.000943,0.448817,0.000121,0.692801,0.567007,0.001459,1.685791,-13632.749351,10.996096,63175.350241,0.667853,24360.793349,-10.756853,122.425000,31.427001,0.000000,0.000000,0.222189,-0.049123,-29.500000,2.828058,-0.043280,0.034971,-3.999420,2.140256,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.200000,242.528575,-0.000770,4995.811663,-3.111566,-0.002357,0.089029,-6.777975,-0.003752,0.118199,1.941623,-0.001905,204.892609,-0.006164,-2.417385,0.000642,54577.797736,-0.006164,-2.417385,0.000642,54577.797736,204.483848,-0.004534,-13.102998,-3.666600,-0.001271,0.452591,0.000131,0.510532,0.570613,0.001674,1.503541,-13306.849008,11.961504,46554.493803,-2.439262,15507.280652,-4.165911,122.425000,31.427185,0.000000,0.000000,0.187666,-0.052593,-29.500000,2.529171,-0.047166,0.034720,-4.198035,1.886684,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.300000,262.976959,-0.001224,4994.501363,-2.497041,-0.002343,0.100834,-6.583811,-0.003619,0.117099,3.115746,-0.002495,205.371496,-0.006443,-1.669698,0.000098,54586.598920,-0.006443,-1.669698,0.000098,54586.598920,204.856251,-0.005593,-14.636731,-4.086908,-0.001564,0.457058,0.000121,0.297697,0.571715,0.001870,1.291101,-12908.257636,11.076102,27146.511303,-1.282684,5216.075173,4.045377,122.425000,31.427369,0.000000,0.000000,0.144006,-0.057018,-29.500000,2.148166,-0.051663,0.034400,-4.451219,1.563444,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.400000,283.462584,-0.001783,4993.037690,-1.825620,-0.002087,0.112506,-6.272235,-0.003287,0.116583,3.510677,-0.002699,205.876636,-0.006559,-0.929241,-0.000342,54589.803712,-0.006559,-0.929241,-0.000342,54589.803712,205.262652,-0.006393,-15.962096,-4.446738,-0.001785,0.461609,0.000095,0.079316,0.570861,0.002047,1.073328,-12496.492505,8.692455,7232.648651,-2.623109,-5209.325298,11.236807,122.425000,31.427553,0.000000,0.000000,0.096508,-0.061852,-29.500000,1.731884,-0.056285,0.034051,-4.727845,1.210276,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.500000,303.988850,-0.002422,4991.441480,-1.176695,-0.001624,0.124116,-5.921166,-0.002829,0.115524,3.116255,-0.002487,206.402825,-0.006983,-0.288300,-0.000614,54589.945717,-0.006983,-0.288300,-0.000614,54589.945717,205.700946,-0.006825,-17.072444,-4.744595,-0.001901,0.465499,0.000055,-0.119169,0.568659,0.002209,0.875493,-12141.921519,4.981732,-10866.820544,-1.924000,-14208.776305,17.259146,122.425000,31.427738,0.000000,0.000000,0.050854,-0.066525,-29.500000,1.329551,-0.060414,0.033713,-4.995202,0.868941,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.600000,324.558944,-0.003105,4989.734236,-0.623519,-0.001007,0.135623,-5.609540,-0.002369,0.114814,2.040446,-0.001803,206.942926,-0.007363,0.180579,-0.000616,54588.731726,-0.007363,0.180579,-0.000616,54588.731726,206.164592,-0.006830,-17.986378,-4.986135,-0.001898,0.465157,0.000006,-0.275669,0.562905,0.002361,0.719540,-12171.904220,0.509065,-25137.736383,-2.147428,-20435.985111,20.824382,122.425000,31.427924,0.000000,0.000000,0.012315,-0.070509,-29.500000,0.986582,-0.063478,0.033425,-5.223110,0.577971,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.700000,345.175403,-0.003788,4987.935598,-0.222384,-0.000307,0.147073,-5.405495,-0.002045,0.114018,0.493148,-0.000721,207.487424,-0.007863,0.435511,-0.000341,54587.219986,-0.007863,0.435511,-0.000341,54587.219986,206.642537,-0.006420,-18.744530,-5.183199,-0.001780,0.461775,-0.000047,-0.374580,0.555979,0.002509,0.620969,-12478.748497,-4.264379,-34157.346103,-1.213879,-22853.636229,22.090724,122.425000,31.428109,0.000000,0.000000,-0.014986,-0.073398,-29.500000,0.737878,-0.064882,0.033216,-5.388378,0.366974,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.800000,365.839657,-0.004430,4986.061145,-0.004264,0.000401,0.158469,-5.356180,-0.001985,0.113633,-1.237201,0.000681,208.030472,-0.008245,0.472930,0.000212,54586.033134,-0.008245,0.472930,0.000212,54586.033134,207.125736,-0.005677,-19.403786,-5.351973,-0.001570,0.460083,-0.000096,-0.410428,0.553430,0.002658,0.585202,-12631.848700,-8.746963,-37426.245549,-0.621780,-21593.146765,21.250281,122.425000,31.428296,0.000000,0.000000,-0.028943,-0.074969,-29.500000,0.602644,-0.064599,0.033102,-5.478243,0.252243,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.900000,386.552231,-0.004997,4984.120767,0.030143,0.001049,0.169860,-5.479900,-0.002273,0.113498,-2.872113,0.002282,208.573345,-0.008520,0.321329,0.001005,54585.381115,-0.008520,0.321329,0.001005,54585.381115,207.611146,-0.004741,-20.027421,-5.510088,-0.001308,0.460725,-0.000136,-0.387434,0.556221,0.002815,0.607992,-12572.676255,-12.442780,-35329.403597,0.338960,-17550.555126,18.670012,122.425000,31.428482,0.000000,0.000000,-0.029930,-0.074915,-29.506029,0.588546,-0.062994,0.033124,-5.479819,0.250121,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
